1.000000000000000000e+02,1.508869999999999933e+00,-1.531271000000000049e+00,2.546090999999999838e+01,1.508869999999999933e+00,-1.531271000000000049e+00,2.546090999999999838e+01
1.000100000000000051e+02,1.222179863320968618e+00,-1.477064544704062676e+00,2.477069670454441308e+01,1.222179863320968618e+00,-1.477064544704062676e+00,2.477069670454441308e+01
1.000200000000000102e+02,9.679096980059037625e-01,-1.423758219056459717e+00,2.410323858690018639e+01,9.679096980059037625e-01,-1.423758219056459717e+00,2.410323858690018639e+01
1.000300000000000153e+02,7.427606034211000630e-01,-1.373883576873268231e+00,2.345720680419540471e+01,7.427606034211000630e-01,-1.373883576873268231e+00,2.345720680419540471e+01
1.000400000000000205e+02,5.435386642401551782e-01,-1.329335158939953354e+00,2.283139952729787581e+01,5.441771793297609516e-01,-1.328954933020795925e+00,2.283259900275802678e+01
1.000500000000000256e+02,3.671990930580524837e-01,-1.291499309368850934e+00,2.222474572387836744e+01,3.685300397805055805e-01,-1.290712142172779187e+00,2.222735281650161809e+01
1.000600000000000307e+02,2.108749408711668716e-01,-1.261365345327160270e+00,2.163629975500619551e+01,2.129339623383363911e-01,-1.260017007398928746e+00,2.164076312247848577e+01
1.000700000000000358e+02,7.189332079948837495e-02,-1.239619875420377770e+00,2.106523102708717232e+01,7.472120701588003122e-02,-1.237566677663053616e+00,2.107196142140960760e+01
1.000800000000000409e+02,-5.221833199398136227e-02,-1.226725726969144725e+00,2.051081154437892451e+01,-4.861010134898813284e-02,-1.223880377407695397e+00,2.052012034122085637e+01
1.000900000000000460e+02,-1.637331586315613485e-01,-1.222988011281970655e+00,1.997240339427517242e+01,-1.593268168040433697e-01,-1.219238396543587788e+00,1.998465390864944524e+01
1.001000000000000512e+02,-2.647316394039145315e-01,-1.228608368369024317e+00,1.944944706507862975e+01,-2.595040825077215008e-01,-1.223842872116293057e+00,1.946500291291809148e+01
1.001100000000000563e+02,-3.571122876530761769e-01,-1.243729525823020099e+00,1.894145132091434647e+01,-3.510356423326650432e-01,-1.237827845658685311e+00,1.896070392791366643e+01
1.001200000000000614e+02,-4.426051889233568182e-01,-1.268471592917270074e+00,1.844798486745231969e+01,-4.356435266204992107e-01,-1.261295837159778221e+00,1.847137417260742254e+01
1.001300000000000665e+02,-5.227873325476811717e-01,-1.302961563994093019e+00,1.796866988271975885e+01,-5.148966711827436260e-01,-1.294361085440541848e+00,1.799668474856948919e+01
1.001400000000000716e+02,-5.990990454371244445e-01,-1.347357216232224708e+00,1.750317736191203011e+01,-5.902271521159330181e-01,-1.337164957817222222e+00,1.753636666003799505e+01
1.001500000000000767e+02,-6.728608940993655585e-01,-1.401866560645093296e+00,1.705122419360077046e+01,-6.629465621777692608e-01,-1.389900338645602806e+00,1.709020357195472783e+01
1.001600000000000819e+02,-7.452906577426116064e-01,-1.466763774668964126e+00,1.661257186470777114e+01,-7.342639741369405559e-01,-1.452828367050315483e+00,1.665802635614013738e+01
1.001700000000000870e+02,-8.175200636410793198e-01,-1.542402447127573240e+00,1.618702671544022209e+01,-8.053017807074704937e-01,-1.526289951797153099e+00,1.623971481982803411e+01
1.001800000000000921e+02,-8.906110956388817446e-01,-1.629226792781050648e+00,1.577444170225355613e+01,-8.771130395003476909e-01,-1.610718642171050652e+00,1.583519684139823980e+01
1.001900000000000972e+02,-9.655717303397248763e-01,-1.727781485395432082e+00,1.537471966467877493e+01,-9.506962773271718792e-01,-1.706648108359004601e+00,1.544445096317863531e+01
1.002000000000001023e+02,-1.043371076525000385e+00,-1.838720491292072268e+00,1.498781815718750821e+01,-1.027011300332180577e+00,-1.814721789951945885e+00,1.506751032535171575e+01
1.002100000000001074e+02,-1.124953876375059503e+00,-1.962815333631815484e+00,1.461375595206147437e+01,-1.106993156380287724e+00,-1.935700458284045800e+00,1.470446755353546209e+01
1.002200000000001125e+02,-1.211254396277465339e+00,-2.100963044093477894e+00,1.425262138910123966e+01,-1.191565985686413365e+00,-2.070468929405834047e+00,1.435548173252677984e+01
1.002300000000001177e+02,-1.303209748126087586e+00,-2.254193988811891813e+00,1.390458281038314503e+01,-1.281656804389587956e+00,-2.220043224092151490e+00,1.402078973118400640e+01
1.002400000000001228e+02,-1.401772686467236406e+00,-2.423679668119681274e+00,1.356990141662423532e+01,-1.378207015699974614e+00,-2.385576722021724549e+00,1.370071570936775274e+01
1.002500000000001279e+02,-1.507923915121656355e+00,-2.610740467071783755e+00,1.324894680460842622e+01,-1.482184733159176426e+00,-2.568369877334262696e+00,1.339568625752067632e+01
1.002600000000001330e+02,-1.622683980353855526e+00,-2.816853279890187522e+00,1.294221594405014386e+01,-1.594596649415127354e+00,-2.769874376054431764e+00,1.310624857608413762e+01
1.002700000000001381e+02,-1.747124717968127516e+00,-3.043658690081082252e+00,1.265035584936246771e+01,-1.716498988575569706e+00,-2.991701778765346376e+00,1.283309053246116704e+01
1.002800000000001432e+02,-1.882380267303495724e+00,-3.292967354858868934e+00,1.237419078428658814e+01,-1.849007847613922673e+00,-3.235628274078990785e+00,1.257706733409500188e+01
1.002900000000001484e+02,-2.029657585756487137e+00,-3.566764978110192885e+00,1.211475472361345318e+01,-1.993309724039665776e+00,-3.503600445385600892e+00,1.233922914032077855e+01
1.003000000000001535e+02,-2.190246329018997962e+00,-3.867214944373659868e+00,1.187333001084923723e+01,-2.150670262879959438e+00,-3.797736373539592591e+00,1.212085959676837987e+01
1.003100000000001586e+02,-2.365527868271868339e+00,-4.196657353158338211e+00,1.165149317753472147e+01,-2.322443756169906948e+00,-4.120326307411815492e+00,1.192351696256733007e+01
