p,Scheme,Problem,train_time,test_time,total_time,ode_time,Input,Sigma

4	EULER	ROM	16.21004557609558	1.0965847969055176	17.3066303730011	
4	EULER	ROM	16.18858575820923	1.1709272861480713	17.3595130443573	
4	EULER	ROM	15.964845180511475	1.1751844882965088	17.140029668807983	
4	EULER	ROM	16.15011191368103	1.2031104564666748	17.353222370147705	
1	RESNET	ROM	16.348105430603027	1.2355401515960693	17.583645582199097	
4	RESNET	ROM	15.985546112060547	1.1275391578674316	17.11308526992798	
4	RESNET	ROM	16.075133800506592	1.1506085395812988	17.22574234008789	
4	RESNET	ROM	17.057149410247803	1.3433446884155273	18.40049409866333	
4	RESNET	ROM	15.660773992538452	1.0440502166748047	16.704824209213257	
4	RESNET	ROM	15.743602514266968	1.1422131061553955	16.885815620422363	
4	RESNET	ROM	16.142096042633057	1.1590931415557861	17.301189184188843	
4	RESNET	ROM	16.09953737258911	1.143580675125122	17.243118047714233	
4	RESNET	ROM	13.638129234313965	1.064763069152832	14.702892303466797	
1	RESNET	ROM	13.438210010528564	0.8257033824920654	14.26391339302063	
2	RESNET	ROM	13.467447519302368	1.0856447219848633	14.553092241287231	
4	RESNET	ROM	13.036494731903076	0.805469274520874	13.84196400642395	
4	RESNET	ROM	15.586080074310303	1.1494958400726318	16.735575914382935	
4	RESNET	ROM	16.65281915664673	1.1294896602630615	17.78230881690979	
4	RESNET	ROM	16.633063077926636	1.303438663482666	17.9365017414093	
4	RESNET	ROM	19.786359310150146	1.8417041301727295	21.628063440322876	
4	RESNET	ROM	24.021086931228638	2.3598520755767822	26.38093900680542	
4	BDF2	ROM	21.31190800666809	1.570368766784668	22.88227677345276	
4	RESNET	ROM	18.39582109451294	1.0491278171539307	19.44494891166687	
4	RESNET	ROM	15.954630374908447	1.1303722858428955	17.085002660751343	
4	RESNET	ROM	16.814228057861328	1.289442539215088	18.103670597076416	
4	RESNET	ROM	18.20148754119873	1.649613857269287	19.851101398468018	
4	RESNET	ROM	19.234619617462158	1.9801130294799805	21.21473264694214	
4	RESNET	ROM	24.605392932891846	1.3411064147949219	25.946499347686768	
4	RESNET	ROM	26.131734371185303	1.7061452865600586	27.83787965774536	
4	RESNET	ROM	17.391238927841187	1.1260862350463867	18.517325162887573	
4	RESNET	ROM	18.874876260757446	1.1422443389892578	20.017120599746704	
4	RESNET	ROM	17.52654242515564	1.1312165260314941	18.657758951187134	
4	RESNET	ROM	11.807560920715332	1.1215875148773193	12.929148435592651	
4	RESNET	ROM	35.34821152687073	1.2746155261993408	36.62282705307007	
4	RESNET	ROM	16.051016330718994	1.6995387077331543	17.75055503845215	
4	RESNET	ROM	14.936749935150146	1.1291215419769287	16.065871477127075	
4	RESNET	ROM	33.806411266326904	1.1208350658416748	34.92724633216858	
4	RESNET	ROM	33.09419322013855	1.2433204650878906	34.33751368522644	
4	RESNET	ROM	43.82987022399902	1.3278570175170898	45.15772724151611	
4	RESNET	ROM	43.502808809280396	1.296992301940918	44.79980111122131	
4	RESNET	ROM	45.15959692001343	1.3809614181518555	46.54055833816528	
4	RESNET	ROM	44.78302454948425	1.3647561073303223	46.147780656814575	
4	RESNET	ROM	90.26448607444763	1.7372081279754639	92.0016942024231	
4	RESNET	ROM	26.529296398162842	2.094538927078247	28.62383532524109	
4	RESNET	ROM	21.722336053848267	1.3137497901916504	23.036085844039917	
4	RESNET	ROM	22.670557498931885	1.3441030979156494	24.014660596847534	
4	RESNET	ROM	21.804725408554077	1.329965353012085	23.134690761566162	
4	RESNET	ROM	23.631115913391113	1.3337795734405518	24.964895486831665	
4	RESNET	ROM	23.609552145004272	1.351325511932373	24.960877656936646	
